step,tag,value
0,train/obj_loss,0.0653771311044693
1,train/obj_loss,0.06173775717616081
2,train/obj_loss,0.07014358043670654
3,train/obj_loss,0.06205182150006294
4,train/obj_loss,0.060823410749435425
5,train/obj_loss,0.056128837168216705
6,train/obj_loss,0.05045032873749733
7,train/obj_loss,0.06006999686360359
8,train/obj_loss,0.05835277587175369
9,train/obj_loss,0.054718077182769775
10,train/obj_loss,0.06244182586669922
11,train/obj_loss,0.05543677881360054
12,train/obj_loss,0.04973726347088814
13,train/obj_loss,0.055573102086782455
14,train/obj_loss,0.04845235124230385
15,train/obj_loss,0.05176355317234993
16,train/obj_loss,0.0488198883831501
17,train/obj_loss,0.04864681139588356
18,train/obj_loss,0.04884194955229759
19,train/obj_loss,0.04930337890982628
20,train/obj_loss,0.04703744500875473
21,train/obj_loss,0.045651812106370926
22,train/obj_loss,0.04985211044549942
23,train/obj_loss,0.04560033231973648
24,train/obj_loss,0.04823102429509163
25,train/obj_loss,0.04029883071780205
26,train/obj_loss,0.04989399388432503
27,train/obj_loss,0.05223208665847778
28,train/obj_loss,0.049216173589229584
29,train/obj_loss,0.045498527586460114
30,train/obj_loss,0.04464254155755043
31,train/obj_loss,0.050813451409339905
32,train/obj_loss,0.04495929181575775
33,train/obj_loss,0.04895647242665291
34,train/obj_loss,0.047576066106557846
35,train/obj_loss,0.0475553497672081
36,train/obj_loss,0.04612336307764053
37,train/obj_loss,0.04555102065205574
38,train/obj_loss,0.0458841398358345
39,train/obj_loss,0.04444648697972298
40,train/obj_loss,0.04396522417664528
41,train/obj_loss,0.04186540096998215
42,train/obj_loss,0.04310259968042374
43,train/obj_loss,0.04345092922449112
44,train/obj_loss,0.044372282922267914
45,train/obj_loss,0.036951400339603424
46,train/obj_loss,0.041683588176965714
47,train/obj_loss,0.04105246439576149
48,train/obj_loss,0.03898967057466507
49,train/obj_loss,0.03913884237408638
50,train/obj_loss,0.037989743053913116
51,train/obj_loss,0.04348592460155487
52,train/obj_loss,0.040659237653017044
53,train/obj_loss,0.03796657174825668
54,train/obj_loss,0.03716610372066498
55,train/obj_loss,0.03953862190246582
56,train/obj_loss,0.040210165083408356
57,train/obj_loss,0.03567487373948097
58,train/obj_loss,0.04326559230685234
59,train/obj_loss,0.03632006794214249
60,train/obj_loss,0.037392836064100266
61,train/obj_loss,0.04059959575533867
62,train/obj_loss,0.03748093172907829
63,train/obj_loss,0.03982510790228844
64,train/obj_loss,0.0384695939719677
65,train/obj_loss,0.041203513741493225
66,train/obj_loss,0.035515401512384415
67,train/obj_loss,0.040540143847465515
68,train/obj_loss,0.037050824612379074
69,train/obj_loss,0.041573666036129
70,train/obj_loss,0.04621719568967819
71,train/obj_loss,0.03973320871591568
72,train/obj_loss,0.03984658420085907
73,train/obj_loss,0.03937753662467003
74,train/obj_loss,0.03938661143183708
75,train/obj_loss,0.04189002141356468
76,train/obj_loss,0.03477628901600838
77,train/obj_loss,0.03553178906440735
78,train/obj_loss,0.037278007715940475
79,train/obj_loss,0.038312435150146484
80,train/obj_loss,0.032128624618053436
81,train/obj_loss,0.039866067469120026
82,train/obj_loss,0.03426479548215866
83,train/obj_loss,0.03750229999423027
84,train/obj_loss,0.0368192195892334
85,train/obj_loss,0.03286934643983841
86,train/obj_loss,0.03744196891784668
87,train/obj_loss,0.03399108722805977
88,train/obj_loss,0.03328137844800949
89,train/obj_loss,0.03440297767519951
90,train/obj_loss,0.03541746363043785
91,train/obj_loss,0.03709147870540619
92,train/obj_loss,0.03583291545510292
93,train/obj_loss,0.03889412432909012
94,train/obj_loss,0.037325043231248856
95,train/obj_loss,0.03419165685772896
96,train/obj_loss,0.034671686589717865
97,train/obj_loss,0.03840257227420807
98,train/obj_loss,0.0358131006360054
99,train/obj_loss,0.03831954300403595
