step,tag,value
0,train/cls_loss,0.01645512878894806
1,train/cls_loss,0.01721581630408764
2,train/cls_loss,0.015998028218746185
3,train/cls_loss,0.013608328998088837
4,train/cls_loss,0.013256381265819073
5,train/cls_loss,0.013648556545376778
6,train/cls_loss,0.01330251432955265
7,train/cls_loss,0.01030055619776249
8,train/cls_loss,0.012389427050948143
9,train/cls_loss,0.010034867562353611
10,train/cls_loss,0.010248774662613869
11,train/cls_loss,0.00990021787583828
12,train/cls_loss,0.011701938696205616
13,train/cls_loss,0.011105380952358246
14,train/cls_loss,0.009859983809292316
15,train/cls_loss,0.009342889301478863
16,train/cls_loss,0.009738365188241005
17,train/cls_loss,0.010006512515246868
18,train/cls_loss,0.009575801901519299
19,train/cls_loss,0.010349205695092678
20,train/cls_loss,0.009673385880887508
21,train/cls_loss,0.008679358288645744
22,train/cls_loss,0.009179586544632912
23,train/cls_loss,0.008159803226590157
24,train/cls_loss,0.009324236772954464
25,train/cls_loss,0.008992951363325119
26,train/cls_loss,0.007762501947581768
27,train/cls_loss,0.007434614468365908
28,train/cls_loss,0.008798124268651009
29,train/cls_loss,0.007967554032802582
30,train/cls_loss,0.006960906088352203
31,train/cls_loss,0.007717072498053312
32,train/cls_loss,0.008417114615440369
33,train/cls_loss,0.007137633860111237
34,train/cls_loss,0.007339293137192726
35,train/cls_loss,0.007168758660554886
