step,tag,value
0,metrics/recall,0.6010852456092834
1,metrics/recall,0.651273250579834
2,metrics/recall,0.646290123462677
3,metrics/recall,0.680598795413971
4,metrics/recall,0.7077013850212097
5,metrics/recall,0.7118640542030334
6,metrics/recall,0.7332019805908203
7,metrics/recall,0.7175946235656738
8,metrics/recall,0.7309510707855225
9,metrics/recall,0.7484497427940369
10,metrics/recall,0.7613380551338196
11,metrics/recall,0.7553757429122925
12,metrics/recall,0.7602008581161499
13,metrics/recall,0.7482051253318787
14,metrics/recall,0.7719817757606506
15,metrics/recall,0.7809462547302246
16,metrics/recall,0.7503868341445923
17,metrics/recall,0.7526805400848389
18,metrics/recall,0.8092176914215088
19,metrics/recall,0.8152114748954773
20,metrics/recall,0.809096097946167
21,metrics/recall,0.8174590468406677
22,metrics/recall,0.8203166127204895
23,metrics/recall,0.8495314121246338
24,metrics/recall,0.8237030506134033
25,metrics/recall,0.7986185550689697
26,metrics/recall,0.8133760094642639
27,metrics/recall,0.8150185942649841
28,metrics/recall,0.8223437666893005
29,metrics/recall,0.8192539215087891
30,metrics/recall,0.8237693309783936
31,metrics/recall,0.824232816696167
32,metrics/recall,0.8612245917320251
33,metrics/recall,0.8407353162765503
34,metrics/recall,0.848608136177063
35,metrics/recall,0.8453441262245178
