step,tag,value
0,x/lr0,0.09369999915361404
1,x/lr0,0.08648514747619629
2,x/lr0,0.07925446331501007
3,x/lr0,0.0720079317688942
4,x/lr0,0.06474556028842926
5,x/lr0,0.057467348873615265
6,x/lr0,0.05017330124974251
7,x/lr0,0.04286340996623039
8,x/lr0,0.03553767874836922
9,x/lr0,0.02819610945880413
10,x/lr0,0.020838700234889984
11,x/lr0,0.013465450145304203
12,x/lr0,0.008812000043690205
13,x/lr0,0.008812000043690205
14,x/lr0,0.00871300045400858
15,x/lr0,0.00861399993300438
16,x/lr0,0.008515000343322754
17,x/lr0,0.008415999822318554
18,x/lr0,0.008317000232636929
19,x/lr0,0.008217999711632729
20,x/lr0,0.008119000121951103
21,x/lr0,0.008019999600946903
22,x/lr0,0.007921000011265278
23,x/lr0,0.007822000421583652
24,x/lr0,0.0077229999005794525
25,x/lr0,0.00762399984523654
26,x/lr0,0.007524999789893627
27,x/lr0,0.007426000200212002
28,x/lr0,0.007327000144869089
29,x/lr0,0.0072280000895261765
30,x/lr0,0.007129000034183264
31,x/lr0,0.007029999978840351
32,x/lr0,0.006930999923497438
33,x/lr0,0.006831999868154526
34,x/lr0,0.006732999812811613
35,x/lr0,0.006634000223129988
