step,tag,value
0,metrics/mAP_0.5,0.6815367341041565
1,metrics/mAP_0.5,0.7378402352333069
2,metrics/mAP_0.5,0.7413504719734192
3,metrics/mAP_0.5,0.7589688897132874
4,metrics/mAP_0.5,0.77418452501297
5,metrics/mAP_0.5,0.7923058271408081
6,metrics/mAP_0.5,0.7797271609306335
7,metrics/mAP_0.5,0.7932456135749817
8,metrics/mAP_0.5,0.7981211543083191
9,metrics/mAP_0.5,0.8021097779273987
10,metrics/mAP_0.5,0.8004876375198364
11,metrics/mAP_0.5,0.8063900470733643
12,metrics/mAP_0.5,0.801437497138977
13,metrics/mAP_0.5,0.8120618462562561
14,metrics/mAP_0.5,0.824363648891449
15,metrics/mAP_0.5,0.8207365274429321
16,metrics/mAP_0.5,0.8338602185249329
17,metrics/mAP_0.5,0.8353776931762695
18,metrics/mAP_0.5,0.8569411039352417
19,metrics/mAP_0.5,0.8593843579292297
20,metrics/mAP_0.5,0.8625914454460144
21,metrics/mAP_0.5,0.8652892112731934
22,metrics/mAP_0.5,0.8691973090171814
23,metrics/mAP_0.5,0.8890116214752197
24,metrics/mAP_0.5,0.8846532702445984
25,metrics/mAP_0.5,0.8903528451919556
26,metrics/mAP_0.5,0.8933776617050171
27,metrics/mAP_0.5,0.8848710060119629
28,metrics/mAP_0.5,0.8835351467132568
29,metrics/mAP_0.5,0.8896023631095886
30,metrics/mAP_0.5,0.9020123481750488
31,metrics/mAP_0.5,0.9004338383674622
32,metrics/mAP_0.5,0.905248761177063
33,metrics/mAP_0.5,0.9072805643081665
34,metrics/mAP_0.5,0.9161965250968933
35,metrics/mAP_0.5,0.9121727347373962
