               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10946,            0.071154,             0.10422,                   0,                   0,                   0,                   0,             0.10332,            0.050771,             0.10304,              0.0937,              0.0007,              0.0007
                   1,             0.10693,            0.071153,             0.10387,                   0,                   0,                   0,                   0,             0.10224,            0.051391,             0.10282,            0.086485,           0.0014851,           0.0014851
                   2,             0.10421,            0.084357,              0.1034,                   0,                   0,                   0,                   0,             0.10173,            0.051447,             0.10269,            0.079254,           0.0022545,           0.0022545
                   3,             0.10291,             0.08065,             0.10301,                   0,                   0,                   0,                   0,             0.10127,            0.051804,             0.10254,            0.072008,           0.0030079,           0.0030079
                   4,             0.10074,            0.081143,             0.10252,                   0,                   0,                   0,                   0,             0.10083,            0.052391,             0.10239,            0.064746,           0.0037456,           0.0037456
                   5,            0.097285,            0.077603,             0.10182,                   0,                   0,                   0,                   0,             0.10036,            0.052795,             0.10226,            0.057467,           0.0044673,           0.0044673
                   6,            0.094344,            0.071596,             0.10092,                   0,                   0,                   0,                   0,            0.099885,            0.053179,             0.10218,            0.050173,           0.0051733,           0.0051733
                   7,            0.092825,            0.084719,            0.099217,                   0,                   0,                   0,                   0,             0.09914,            0.053318,             0.10207,            0.042863,           0.0058634,           0.0058634
                   8,            0.088887,            0.079451,            0.097796,                   0,                   0,                   0,                   0,            0.097806,            0.054352,             0.10193,            0.035538,           0.0065377,           0.0065377
                   9,            0.087331,            0.076356,            0.094368,                   0,                   0,                   0,                   0,            0.096343,            0.055378,             0.10169,            0.028196,           0.0071961,           0.0071961
                  10,            0.088972,            0.084247,             0.09327,                   0,                   0,                   0,                   0,            0.091952,            0.056751,             0.10041,            0.020839,           0.0078387,           0.0078387
                  11,            0.086676,            0.073849,            0.089618,           0.0036563,           0.0036074,           0.0034715,           0.0012815,            0.087187,            0.056271,            0.097282,            0.013465,           0.0084655,           0.0084655
                  12,            0.085225,            0.067372,            0.086556,           0.0044549,            0.038329,           0.0046194,           0.0016787,            0.083235,            0.054046,            0.092594,            0.008812,            0.008812,            0.008812
                  13,            0.083922,            0.074168,            0.083603,           0.0067463,             0.11314,           0.0086754,           0.0032013,            0.078171,            0.050252,            0.086601,            0.008812,            0.008812,            0.008812
                  14,            0.080579,            0.067112,            0.085048,           0.0062608,             0.22142,             0.01127,           0.0049975,            0.075448,            0.046427,            0.082718,            0.008713,            0.008713,            0.008713
                  15,            0.078976,            0.070313,            0.081774,           0.0057757,             0.25548,           0.0089308,           0.0031448,            0.078086,            0.046529,            0.081039,            0.008614,            0.008614,            0.008614
                  16,            0.080673,            0.066136,            0.081859,           0.0061121,              0.2987,            0.018476,           0.0051549,            0.077903,            0.045321,            0.080055,            0.008515,            0.008515,            0.008515
                  17,            0.078603,            0.066195,            0.081013,           0.0065798,              0.1998,            0.017226,           0.0050944,            0.079492,            0.044787,             0.07896,            0.008416,            0.008416,            0.008416
                  18,            0.076046,            0.067432,            0.077529,            0.005909,             0.30001,            0.013647,           0.0041915,            0.079812,              0.0476,            0.078491,            0.008317,            0.008317,            0.008317
                  19,             0.07515,            0.068984,            0.078813,           0.0061745,              0.3367,            0.019337,           0.0058733,            0.079468,            0.050724,            0.077751,            0.008218,            0.008218,            0.008218
                  20,            0.073135,            0.066251,             0.07958,            0.007031,             0.23391,            0.022108,           0.0072246,             0.07989,            0.051834,            0.076931,            0.008119,            0.008119,            0.008119
                  21,            0.076233,            0.063111,            0.075074,              0.3254,             0.10403,            0.031729,           0.0098143,            0.076149,            0.050555,            0.075718,             0.00802,             0.00802,             0.00802
                  22,              0.0739,            0.068054,            0.078797,             0.53395,            0.083802,            0.034448,            0.011062,            0.073557,            0.050879,            0.074905,            0.007921,            0.007921,            0.007921
                  23,            0.073754,            0.063851,            0.072542,             0.63487,            0.069953,            0.034426,            0.012138,             0.07269,            0.047819,            0.073895,            0.007822,            0.007822,            0.007822
                  24,            0.069213,            0.067241,            0.076594,              0.5743,            0.082441,             0.03225,             0.01165,            0.072598,            0.052482,            0.073349,            0.007723,            0.007723,            0.007723
                  25,            0.071826,             0.05743,            0.072277,             0.56236,             0.09387,            0.041437,            0.016872,            0.071796,            0.046563,            0.072334,            0.007624,            0.007624,            0.007624
