               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10834,             0.07294,             0.10362,                   0,                   0,                   0,                   0,             0.10357,            0.050544,              0.1031,              0.0937,              0.0007,              0.0007
                   1,             0.10684,            0.071641,             0.10338,                   0,                   0,                   0,                   0,             0.10226,            0.051715,              0.1029,            0.086485,           0.0014851,           0.0014851
                   2,             0.10574,            0.082996,             0.10327,                   0,                   0,                   0,                   0,             0.10168,            0.051853,             0.10278,            0.079254,           0.0022545,           0.0022545
                   3,             0.10522,            0.079122,             0.10301,                   0,                   0,                   0,                   0,             0.10121,            0.052368,             0.10268,            0.072008,           0.0030079,           0.0030079
                   4,               0.104,             0.07962,             0.10269,                   0,                   0,                   0,                   0,             0.10085,            0.052567,             0.10256,            0.064746,           0.0037456,           0.0037456
                   5,             0.10278,            0.076045,              0.1024,                   0,                   0,                   0,                   0,             0.10054,            0.052467,             0.10245,            0.057467,           0.0044673,           0.0044673
                   6,             0.10184,            0.071251,              0.1023,                   0,                   0,                   0,                   0,             0.10033,            0.052778,             0.10239,            0.050173,           0.0051733,           0.0051733
                   7,             0.10225,            0.084915,             0.10187,                   0,                   0,                   0,                   0,             0.10016,            0.053055,             0.10233,            0.042863,           0.0058634,           0.0058634
                   8,             0.10117,            0.081553,             0.10179,                   0,                   0,                   0,                   0,             0.10002,            0.053356,             0.10231,            0.035538,           0.0065377,           0.0065377
                   9,             0.10068,            0.080301,             0.10161,                   0,                   0,                   0,                   0,            0.099927,            0.053568,             0.10228,            0.028196,           0.0071961,           0.0071961
                  10,             0.10142,            0.090488,              0.1015,                   0,                   0,                   0,                   0,            0.099844,            0.053373,             0.10227,            0.020839,           0.0078387,           0.0078387
                  11,             0.10059,            0.082526,               0.101,                   0,                   0,                   0,                   0,            0.099788,            0.053642,             0.10229,            0.013465,           0.0084655,           0.0084655
                  12,             0.10024,             0.07699,             0.10041,                   0,                   0,                   0,                   0,            0.099725,            0.053116,             0.10229,            0.008812,            0.008812,            0.008812
                  13,             0.10066,             0.08428,            0.099595,                   0,                   0,                   0,                   0,            0.099376,            0.053343,             0.10207,            0.008812,            0.008812,            0.008812
                  14,             0.10008,             0.07619,            0.099588,          0.00022312,           0.0088246,          0.00018929,          2.8263e-05,            0.099919,            0.052887,             0.10281,            0.008713,            0.008713,            0.008713
                  15,            0.099678,            0.081471,            0.097774,          0.00075445,            0.021216,           0.0014151,          0.00018485,             0.10499,            0.057556,             0.12061,            0.008614,            0.008614,            0.008614
                  16,             0.10004,            0.075317,            0.096993,            0.056503,           0.0012199,          0.00010341,          3.0416e-05,                 nan,                 nan,             0.19373,            0.008515,            0.008515,            0.008515
                  17,             0.09877,            0.075732,            0.096708,          0.00037558,            0.011938,          0.00026101,          6.5361e-05,                 nan,                 nan,             0.28067,            0.008416,            0.008416,            0.008416
                  18,            0.098773,            0.076841,            0.094661,           9.956e-05,           0.0053083,          5.8225e-05,           1.642e-05,                 nan,                 nan,             0.44407,            0.008317,            0.008317,            0.008317
                  19,            0.097532,            0.079201,            0.092973,             0.16907,          0.00094266,           2.569e-05,          7.4696e-06,                 nan,                 nan,             0.33652,            0.008218,            0.008218,            0.008218
                  20,            0.097895,            0.075195,            0.093125,          0.00035802,            0.014681,          0.00041356,          7.0545e-05,                 nan,                 nan,             0.14824,            0.008119,            0.008119,            0.008119
                  21,            0.097103,            0.073813,            0.088249,             0.16938,           0.0089442,          0.00032937,          9.0796e-05,                 nan,                 nan,             0.12688,             0.00802,             0.00802,             0.00802
                  22,             0.09701,            0.080732,            0.091535,              0.5781,           0.0035211,          0.00074455,          0.00021556,             0.10397,             0.05022,             0.10794,            0.007921,            0.007921,            0.007921
                  23,            0.096509,            0.075343,            0.086364,             0.38106,            0.011467,            0.000751,          0.00020976,             0.10199,            0.051659,             0.10435,            0.007822,            0.007822,            0.007822
                  24,            0.094563,            0.079998,             0.08906,             0.78981,            0.003632,          0.00071848,          0.00016496,            0.099552,            0.055098,             0.10061,            0.007723,            0.007723,            0.007723
                  25,            0.096254,            0.067844,            0.084254,             0.87616,           0.0040756,           0.0013352,            0.000367,            0.098783,            0.077353,              0.1083,            0.007624,            0.007624,            0.007624
                  26,            0.094666,            0.083171,            0.082195,             0.91012,           0.0087652,            0.004542,          0.00097331,            0.097249,            0.083771,             0.10682,            0.007525,            0.007525,            0.007525
                  27,            0.093697,            0.086684,            0.087001,             0.91382,           0.0093593,           0.0047456,           0.0016745,            0.094802,            0.063179,            0.093487,            0.007426,            0.007426,            0.007426
                  28,            0.094858,            0.082181,            0.086226,               0.865,           0.0076799,           0.0040248,           0.0018786,            0.093718,            0.058643,             0.08913,            0.007327,            0.007327,            0.007327
                  29,            0.092185,             0.07962,            0.086082,             0.89567,           0.0087111,           0.0045389,           0.0023305,            0.093991,            0.055815,            0.087666,            0.007228,            0.007228,            0.007228
                  30,            0.093417,            0.076636,            0.086639,             0.83214,           0.0086851,           0.0015886,          0.00046587,            0.092985,            0.054893,            0.085514,            0.007129,            0.007129,            0.007129
                  31,            0.092194,            0.084287,            0.084963,             0.84652,           0.0069461,           0.0021095,           0.0005719,            0.091661,            0.053749,            0.084457,             0.00703,             0.00703,             0.00703
                  32,            0.092368,            0.077215,            0.086768,             0.89474,           0.0075136,           0.0069369,           0.0038362,            0.091934,            0.053255,            0.084328,            0.006931,            0.006931,            0.006931
                  33,             0.09092,            0.085412,            0.082877,           0.0020763,            0.041268,           0.0027263,          0.00063273,            0.090967,            0.054499,            0.084679,            0.006832,            0.006832,            0.006832
                  34,            0.091568,            0.082534,            0.086368,           0.0011722,            0.031884,           0.0019438,          0.00053768,            0.090088,            0.055716,            0.084652,            0.006733,            0.006733,            0.006733
                  35,             0.09064,            0.082797,            0.086025,           0.0028648,            0.032585,           0.0033926,           0.0011694,             0.08933,            0.053762,            0.083126,            0.006634,            0.006634,            0.006634
                  36,            0.090024,            0.083049,            0.085349,           0.0018178,            0.039129,           0.0053312,           0.0018094,            0.089049,            0.052931,            0.082695,            0.006535,            0.006535,            0.006535
                  37,            0.089901,            0.078967,            0.084289,            0.005325,            0.055024,            0.011195,           0.0030132,            0.088675,            0.052343,              0.0826,            0.006436,            0.006436,            0.006436
                  38,            0.089424,            0.082549,            0.085023,           0.0060696,            0.031328,           0.0074364,           0.0010897,            0.089754,            0.051437,            0.085094,            0.006337,            0.006337,            0.006337
                  39,            0.089343,            0.079875,            0.081763,           0.0048025,            0.050182,           0.0059312,           0.0011812,            0.088592,            0.051619,            0.082462,            0.006238,            0.006238,            0.006238
                  40,            0.088156,            0.080446,            0.081118,            0.003056,            0.038881,           0.0066716,           0.0015768,            0.088173,            0.052065,            0.082035,            0.006139,            0.006139,            0.006139
                  41,            0.089722,            0.075918,            0.078918,            0.002296,            0.049621,           0.0042038,           0.0011375,            0.087656,            0.052025,            0.081432,             0.00604,             0.00604,             0.00604
                  42,            0.089542,            0.077357,            0.081028,           0.0025347,            0.046207,            0.010417,           0.0031167,            0.086778,            0.052805,            0.081593,            0.005941,            0.005941,            0.005941
                  43,            0.086246,            0.082345,             0.08242,             0.93201,           0.0088341,            0.011288,           0.0054129,            0.086742,            0.052147,            0.081551,            0.005842,            0.005842,            0.005842
                  44,            0.086066,            0.082371,            0.079869,             0.81049,            0.019082,            0.014612,            0.005938,            0.085333,            0.053177,             0.08049,            0.005743,            0.005743,            0.005743
                  45,            0.086133,            0.071161,            0.084092,             0.73455,            0.020099,            0.011105,           0.0047781,            0.086332,            0.051876,            0.080799,            0.005644,            0.005644,            0.005644
                  46,             0.08707,            0.079602,            0.081284,             0.88753,            0.012799,           0.0086731,           0.0028098,            0.085338,             0.05241,            0.080669,            0.005545,            0.005545,            0.005545
