               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11317,            0.068816,             0.10757,                   0,                   0,                   0,                   0,             0.10405,            0.050095,             0.10307,              0.0937,              0.0007,              0.0007
                   1,             0.11118,            0.067994,             0.10644,                   0,                   0,                   0,                   0,             0.10323,            0.050539,             0.10293,            0.086485,           0.0014851,           0.0014851
                   2,             0.11065,            0.077742,             0.10608,                   0,                   0,                   0,                   0,             0.10283,            0.051001,             0.10285,            0.079254,           0.0022545,           0.0022545
                   3,             0.10929,            0.074854,             0.10559,                   0,                   0,                   0,                   0,             0.10248,            0.051198,             0.10277,            0.072008,           0.0030079,           0.0030079
                   4,             0.10679,            0.076575,             0.10405,                   0,                   0,                   0,                   0,             0.10214,            0.051846,             0.10267,            0.064746,           0.0037456,           0.0037456
                   5,             0.10475,            0.074071,             0.10359,                   0,                   0,                   0,                   0,             0.10178,             0.05186,              0.1026,            0.057467,           0.0044673,           0.0044673
                   6,             0.10384,            0.069514,             0.10345,                   0,                   0,                   0,                   0,             0.10151,            0.051696,             0.10255,            0.050173,           0.0051733,           0.0051733
                   7,             0.10331,            0.083639,             0.10296,                   0,                   0,                   0,                   0,             0.10129,            0.052088,             0.10248,            0.042863,           0.0058634,           0.0058634
                   8,             0.10244,            0.079966,             0.10252,                   0,                   0,                   0,                   0,              0.1011,            0.052034,             0.10244,            0.035538,           0.0065377,           0.0065377
                   9,             0.10094,            0.079672,             0.10176,                   0,                   0,                   0,                   0,             0.10093,            0.052391,              0.1024,            0.028196,           0.0071961,           0.0071961
                  10,             0.10274,            0.088091,              0.1024,                   0,                   0,                   0,                   0,             0.10075,            0.052233,             0.10241,            0.020839,           0.0078387,           0.0078387
                  11,             0.10091,            0.081504,             0.10099,                   0,                   0,                   0,                   0,             0.10061,            0.052584,             0.10243,            0.013465,           0.0084655,           0.0084655
                  12,             0.10043,            0.075763,             0.10018,                   0,                   0,                   0,                   0,             0.10051,              0.0532,             0.10257,            0.008812,            0.008812,            0.008812
                  13,             0.10111,             0.08219,            0.098407,                   0,                   0,                   0,                   0,             0.10027,            0.052826,             0.10256,            0.008812,            0.008812,            0.008812
                  14,             0.10006,            0.074597,            0.097901,             0.64067,           0.0070423,           0.0047471,           0.0011991,            0.099692,            0.053303,             0.10188,            0.008713,            0.008713,            0.008713
                  15,             0.10005,            0.079642,             0.09515,             0.96374,           0.0035211,           0.0029582,           0.0012764,            0.099122,            0.052422,            0.099983,            0.008614,            0.008614,            0.008614
                  16,            0.099832,             0.07425,            0.094263,             0.94976,           0.0035211,           0.0051027,           0.0016237,            0.098576,            0.052401,            0.095974,            0.008515,            0.008515,            0.008515
                  17,            0.098246,            0.074666,            0.093296,             0.79293,           0.0070423,           0.0051235,           0.0016005,            0.098479,            0.051226,            0.092865,            0.008416,            0.008416,            0.008416
                  18,            0.098139,            0.076283,            0.090512,             0.73785,           0.0070423,            0.004022,           0.0017239,             0.10078,             0.05043,            0.095688,            0.008317,            0.008317,            0.008317
                  19,            0.096292,            0.079692,            0.089011,             0.76375,           0.0035766,           0.0043679,           0.0018943,            0.098826,             0.05069,            0.091534,            0.008218,            0.008218,            0.008218
                  20,            0.096802,            0.075404,            0.089819,             0.76267,           0.0041311,           0.0043475,           0.0024178,            0.097231,            0.050938,            0.089745,            0.008119,            0.008119,            0.008119
                  21,            0.096816,            0.073486,            0.084211,             0.76276,           0.0061273,           0.0048067,           0.0025287,            0.096312,            0.051453,             0.09021,             0.00802,             0.00802,             0.00802
                  22,            0.096108,            0.080265,            0.089088,             0.73493,           0.0089276,           0.0035785,           0.0017593,            0.095837,             0.05295,            0.090534,            0.007921,            0.007921,            0.007921
                  23,            0.095503,            0.075518,            0.082746,             0.80581,           0.0054619,           0.0015648,          0.00054964,             0.09562,            0.052559,            0.089405,            0.007822,            0.007822,            0.007822
                  24,            0.093393,            0.080574,            0.086284,             0.84589,           0.0016081,          0.00097307,          0.00029745,            0.094527,            0.052029,            0.087524,            0.007723,            0.007723,            0.007723
                  25,            0.095427,            0.067562,            0.081742,          0.00058709,            0.023658,          0.00079942,          0.00020551,            0.094968,            0.051338,             0.08704,            0.007624,            0.007624,            0.007624
