               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10965,            0.073058,             0.10452,                   0,                   0,                   0,                   0,             0.10349,            0.050548,             0.10321,              0.0937,              0.0007,              0.0007
                   1,             0.10896,            0.070376,             0.10428,                   0,                   0,                   0,                   0,             0.10269,            0.051777,             0.10313,            0.086485,           0.0014851,           0.0014851
                   2,             0.10833,            0.080595,             0.10414,                   0,                   0,                   0,                   0,              0.1023,            0.051729,             0.10308,            0.079254,           0.0022545,           0.0022545
                   3,             0.10751,            0.076874,             0.10371,                   0,                   0,                   0,                   0,             0.10196,            0.051631,             0.10305,            0.072008,           0.0030079,           0.0030079
                   4,             0.10634,            0.076817,             0.10335,                   0,                   0,                   0,                   0,             0.10168,            0.051494,             0.10303,            0.064746,           0.0037456,           0.0037456
                   5,             0.10486,            0.073924,             0.10274,                   0,                   0,                   0,                   0,             0.10143,            0.051874,             0.10299,            0.057467,           0.0044673,           0.0044673
                   6,             0.10394,            0.069159,              0.1029,                   0,                   0,                   0,                   0,             0.10126,            0.052166,               0.103,            0.050173,           0.0051733,           0.0051733
                   7,              0.1037,            0.082657,             0.10208,                   0,                   0,                   0,                   0,             0.10114,            0.052465,             0.10301,            0.042863,           0.0058634,           0.0058634
                   8,             0.10317,             0.07869,             0.10177,                   0,                   0,                   0,                   0,             0.10102,            0.052814,             0.10307,            0.035538,           0.0065377,           0.0065377
                   9,             0.10159,            0.078815,             0.10135,                   0,                   0,                   0,                   0,              0.1009,            0.053101,              0.1031,            0.028196,           0.0071961,           0.0071961
                  10,             0.10242,            0.087898,             0.10113,                   0,                   0,                   0,                   0,             0.10071,            0.052214,             0.10317,            0.020839,           0.0078387,           0.0078387
                  11,             0.10117,            0.080629,            0.099586,                   0,                   0,                   0,                   0,             0.10055,            0.052746,             0.10325,            0.013465,           0.0084655,           0.0084655
                  12,             0.10111,            0.074276,            0.097874,          0.00043337,           0.0070423,           0.0044415,           0.0013474,             0.10032,            0.053448,             0.10325,            0.008812,            0.008812,            0.008812
                  13,             0.10169,            0.080746,            0.095198,             0.80723,           0.0035211,           0.0027813,          0.00083385,            0.099992,            0.052629,               0.103,            0.008812,            0.008812,            0.008812
                  14,             0.10058,            0.074204,            0.095897,             0.21185,            0.011118,          0.00081997,          0.00025401,            0.099748,            0.051741,             0.10116,            0.008713,            0.008713,            0.008713
                  15,            0.099958,            0.079239,            0.091946,             0.75171,           0.0070423,           0.0055763,           0.0020646,             0.10033,            0.051607,             0.10356,            0.008614,            0.008614,            0.008614
                  16,            0.099715,            0.074618,            0.091954,             0.88732,           0.0035211,           0.0046769,           0.0035321,             0.10539,            0.052567,             0.12017,            0.008515,            0.008515,            0.008515
                  17,            0.097976,            0.074817,            0.091029,             0.88732,           0.0035211,           0.0076361,           0.0058075,             0.10859,             0.05126,             0.12783,            0.008416,            0.008416,            0.008416
                  18,            0.097788,            0.076214,            0.088576,              0.7502,           0.0070423,           0.0049723,           0.0033655,             0.11217,            0.049141,             0.16664,            0.008317,            0.008317,            0.008317
                  19,            0.096131,            0.079554,            0.087641,             0.67739,           0.0070423,           0.0025439,           0.0016244,             0.11428,            0.047626,             0.17181,            0.008218,            0.008218,            0.008218
                  20,            0.097225,            0.075327,            0.088661,             0.63569,           0.0035211,           0.0013118,          0.00084315,             0.11036,            0.048052,             0.13369,            0.008119,            0.008119,            0.008119
                  21,            0.096118,            0.073998,             0.08344,             0.62384,           0.0035211,           0.0017042,          0.00090324,             0.10383,            0.052324,             0.10833,             0.00802,             0.00802,             0.00802
                  22,            0.096113,            0.080575,            0.088609,             0.76069,           0.0023844,          0.00035327,          7.9561e-05,            0.099563,            0.056351,            0.095821,            0.007921,            0.007921,            0.007921
                  23,            0.094783,            0.075861,            0.082663,             0.77475,           0.0024953,          0.00051135,          0.00019117,            0.098537,            0.056623,            0.091461,            0.007822,            0.007822,            0.007822
                  24,             0.09309,            0.080705,            0.086946,          0.00019846,            0.023601,          0.00094045,           0.0002707,            0.095358,            0.058388,            0.090885,            0.007723,            0.007723,            0.007723
                  25,            0.094503,            0.068274,            0.081361,             0.66224,            0.003438,          0.00083556,          0.00031205,            0.095826,            0.057205,            0.090225,            0.007624,            0.007624,            0.007624
                  26,             0.09322,            0.083677,            0.079776,             0.59177,            0.014085,           0.0014051,          0.00045172,            0.094192,             0.05591,            0.087357,            0.007525,            0.007525,            0.007525
                  27,            0.092606,            0.086168,            0.084146,             0.71972,           0.0014417,           0.0012967,          0.00043098,            0.091769,            0.054506,            0.084057,            0.007426,            0.007426,            0.007426
                  28,            0.093712,            0.082501,             0.08383,             0.63454,            0.018576,           0.0035733,           0.0013615,             0.09474,            0.052675,            0.083431,            0.007327,            0.007327,            0.007327
                  29,            0.090448,            0.080596,            0.083928,             0.83406,            0.005961,           0.0025501,          0.00090137,            0.093055,            0.053757,            0.082775,            0.007228,            0.007228,            0.007228
                  30,            0.091665,             0.07726,            0.084575,             0.84759,            0.010037,           0.0069427,           0.0014245,            0.095237,             0.05229,             0.08255,            0.007129,            0.007129,            0.007129
                  31,            0.091096,            0.084587,            0.082759,             0.83328,           0.0055728,           0.0060049,           0.0013703,            0.094169,            0.050791,            0.082516,             0.00703,             0.00703,             0.00703
                  32,            0.090621,            0.077551,            0.084442,             0.78987,            0.008983,           0.0026408,          0.00076634,            0.094078,            0.050394,            0.083199,            0.006931,            0.006931,            0.006931
                  33,            0.090117,            0.086128,            0.080361,           0.0016314,            0.048716,           0.0025143,          0.00078011,            0.089878,            0.052055,            0.081188,            0.006832,            0.006832,            0.006832
                  34,            0.090221,              0.0826,            0.083754,           0.0018398,            0.046457,            0.002105,          0.00074326,             0.08909,            0.051661,            0.080807,            0.006733,            0.006733,            0.006733
                  35,            0.089592,            0.083463,            0.083905,           0.0011725,            0.053141,           0.0028318,          0.00085779,            0.088407,            0.052364,            0.080555,            0.006634,            0.006634,            0.006634
                  36,            0.088565,            0.083249,            0.083158,              0.7049,            0.015782,           0.0057157,           0.0013833,            0.088374,            0.052713,             0.08049,            0.006535,            0.006535,            0.006535
                  37,             0.08873,            0.079154,            0.082396,             0.52167,            0.015809,           0.0051095,           0.0014799,            0.087382,            0.051977,            0.080204,            0.006436,            0.006436,            0.006436
                  38,            0.087743,            0.082646,            0.083157,           0.0010458,            0.055592,           0.0061755,           0.0012625,            0.087572,            0.051325,            0.080418,            0.006337,            0.006337,            0.006337
                  39,            0.087214,            0.080539,            0.079556,           0.0017024,            0.071245,            0.010114,           0.0019464,            0.086985,            0.051588,            0.079323,            0.006238,            0.006238,            0.006238
                  40,            0.086736,            0.080204,            0.079873,             0.81964,             0.01048,           0.0046313,           0.0012957,            0.087217,            0.052406,            0.078861,            0.006139,            0.006139,            0.006139
                  41,            0.089168,            0.075381,            0.076253,             0.17032,            0.051512,           0.0067314,           0.0026357,            0.086474,            0.051888,            0.078945,             0.00604,             0.00604,             0.00604
                  42,            0.088151,            0.077394,            0.078889,             0.80651,             0.01048,           0.0058734,           0.0016229,            0.085334,            0.052645,            0.078621,            0.005941,            0.005941,            0.005941
                  43,            0.084841,            0.082743,            0.079955,             0.80624,           0.0092603,           0.0073689,           0.0020726,            0.084807,            0.052311,            0.078938,            0.005842,            0.005842,            0.005842
                  44,            0.085453,            0.082006,            0.078162,             0.73524,            0.021841,           0.0087167,           0.0029424,            0.083465,            0.053709,            0.077747,            0.005743,            0.005743,            0.005743
                  45,            0.084083,             0.07115,            0.081731,             0.74932,             0.01914,           0.0052791,           0.0018161,            0.084971,            0.052099,            0.078949,            0.005644,            0.005644,            0.005644
                  46,            0.085612,            0.079526,            0.079069,             0.82009,           0.0099872,            0.009309,           0.0035965,            0.083426,            0.052242,             0.07793,            0.005545,            0.005545,            0.005545
                  47,            0.083407,            0.079858,            0.077504,           0.0035151,             0.11007,           0.0095546,           0.0026806,            0.083609,            0.052328,            0.078556,            0.005446,            0.005446,            0.005446
                  48,            0.083984,            0.075915,            0.079109,             0.83492,            0.010233,            0.012553,           0.0056782,            0.082804,            0.052225,            0.077415,            0.005347,            0.005347,            0.005347
                  49,            0.083107,            0.075912,             0.07942,             0.89146,           0.0092603,            0.011432,           0.0043931,            0.082018,            0.052532,            0.077412,            0.005248,            0.005248,            0.005248
                  50,            0.082838,            0.074091,             0.07957,             0.88529,            0.011451,            0.014085,           0.0051643,            0.081383,            0.052738,              0.0765,            0.005149,            0.005149,            0.005149
                  51,            0.084094,            0.083189,             0.07815,           0.0049786,             0.13901,            0.012838,           0.0043862,             0.08153,            0.052521,             0.07655,             0.00505,             0.00505,             0.00505
                  52,            0.083295,            0.080349,            0.077575,           0.0049222,             0.13893,            0.019372,           0.0058974,            0.081013,            0.052826,            0.076992,            0.004951,            0.004951,            0.004951
                  53,            0.083007,            0.072741,            0.079687,            0.004586,             0.12592,            0.013639,           0.0035094,            0.083655,            0.051584,            0.078197,            0.004852,            0.004852,            0.004852
                  54,            0.083142,            0.070922,            0.081759,           0.0062076,             0.10752,            0.014744,           0.0037017,            0.083584,            0.051979,            0.078758,            0.004753,            0.004753,            0.004753
                  55,            0.082622,             0.07947,            0.076665,           0.0029102,             0.10772,            0.015431,           0.0053424,             0.08169,            0.051676,            0.077103,            0.004654,            0.004654,            0.004654
                  56,            0.082417,            0.079444,            0.079544,           0.0033239,            0.094956,            0.014682,           0.0049242,            0.080351,            0.052374,            0.075256,            0.004555,            0.004555,            0.004555
                  57,            0.081594,            0.071493,            0.077964,             0.14422,             0.12602,             0.01672,           0.0062422,            0.079026,            0.052584,            0.074924,            0.004456,            0.004456,            0.004456
                  58,            0.080805,            0.085054,            0.078035,             0.57388,            0.032172,            0.015951,           0.0047455,            0.080559,            0.053888,             0.07465,            0.004357,            0.004357,            0.004357
                  59,            0.081607,             0.07388,            0.075682,           0.0033955,            0.090088,            0.015013,           0.0050944,            0.084183,            0.053282,            0.074505,            0.004258,            0.004258,            0.004258
                  60,            0.081976,            0.075006,            0.076472,             0.72869,             0.02073,            0.025771,            0.010486,            0.077758,            0.053812,            0.073757,            0.004159,            0.004159,            0.004159
                  61,            0.081001,             0.08126,            0.078929,             0.82286,             0.01417,            0.045829,            0.014391,            0.077452,             0.05335,             0.07375,             0.00406,             0.00406,             0.00406
                  62,            0.081472,            0.073667,            0.077086,             0.79838,            0.026849,            0.043523,            0.012292,            0.077536,            0.052563,             0.07357,            0.003961,            0.003961,            0.003961
                  63,            0.078913,            0.080986,            0.078024,             0.58639,            0.056604,            0.030105,            0.009974,            0.076993,            0.051727,            0.073784,            0.003862,            0.003862,            0.003862
                  64,              0.0796,            0.077939,            0.076916,             0.65495,            0.046506,            0.020411,           0.0054188,            0.079777,             0.05147,             0.07341,            0.003763,            0.003763,            0.003763
                  65,            0.079275,            0.080374,            0.073762,             0.64195,            0.064203,            0.025854,           0.0085005,            0.077574,             0.05187,            0.073139,            0.003664,            0.003664,            0.003664
                  66,            0.077031,            0.074513,            0.075971,             0.72834,            0.047097,            0.026774,           0.0089664,            0.076745,            0.052122,            0.073853,            0.003565,            0.003565,            0.003565
                  67,            0.079587,            0.082083,             0.07362,             0.73063,            0.033703,            0.030945,             0.01316,            0.076377,              0.0515,            0.073013,            0.003466,            0.003466,            0.003466
                  68,            0.079147,            0.076346,             0.07481,             0.83247,             0.02687,            0.033321,            0.011379,            0.076029,            0.051098,            0.073097,            0.003367,            0.003367,            0.003367
                  69,            0.079431,            0.084161,            0.075786,             0.75674,            0.046106,            0.031089,            0.011326,            0.075974,             0.05089,             0.07288,            0.003268,            0.003268,            0.003268
                  70,            0.079035,            0.093033,            0.073651,              0.8175,            0.025698,            0.027784,             0.01166,            0.075401,            0.051697,             0.07246,            0.003169,            0.003169,            0.003169
                  71,            0.077748,             0.08089,            0.076731,             0.86061,            0.028217,            0.047484,            0.016146,            0.075006,            0.051397,            0.072277,             0.00307,             0.00307,             0.00307
                  72,            0.077686,            0.080723,            0.074314,             0.84935,            0.028313,            0.048798,            0.017514,            0.074518,            0.050615,            0.072594,            0.002971,            0.002971,            0.002971
                  73,            0.077139,            0.079779,            0.076718,             0.83346,            0.026397,            0.033516,            0.011975,              0.0754,            0.050573,             0.07304,            0.002872,            0.002872,            0.002872
                  74,            0.078083,            0.081219,            0.074079,              0.8569,            0.032472,            0.042628,            0.015848,            0.074203,            0.050304,            0.071812,            0.002773,            0.002773,            0.002773
                  75,            0.077611,            0.086026,            0.074079,             0.84494,            0.037339,            0.046851,            0.017676,            0.074379,            0.050053,            0.071739,            0.002674,            0.002674,            0.002674
                  76,            0.077893,            0.072912,            0.074248,             0.81458,            0.046819,            0.049728,            0.019621,            0.073433,             0.05055,            0.072186,            0.002575,            0.002575,            0.002575
                  77,             0.07607,              0.0764,            0.071362,             0.83878,            0.038823,            0.046803,            0.019358,            0.073334,            0.050415,             0.07188,            0.002476,            0.002476,            0.002476
                  78,            0.077043,            0.079003,            0.072913,             0.83745,              0.0406,            0.044222,            0.018985,            0.073282,            0.050087,            0.071388,            0.002377,            0.002377,            0.002377
