               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10774,            0.073525,             0.10358,                   0,                   0,                   0,                   0,             0.10338,            0.050941,             0.10306,              0.0937,              0.0007,              0.0007
                   1,             0.10531,            0.073172,             0.10343,                   0,                   0,                   0,                   0,             0.10197,            0.051614,             0.10282,            0.086485,           0.0014851,           0.0014851
                   2,             0.10291,            0.086623,             0.10256,                   0,                   0,                   0,                   0,             0.10131,            0.052452,              0.1027,            0.079254,           0.0022545,           0.0022545
                   3,             0.10187,            0.083165,             0.10227,                   0,                   0,                   0,                   0,             0.10079,            0.053205,             0.10254,            0.072008,           0.0030079,           0.0030079
                   4,             0.10067,            0.083113,             0.10196,                   0,                   0,                   0,                   0,             0.10039,            0.053118,             0.10237,            0.064746,           0.0037456,           0.0037456
                   5,            0.099134,            0.079186,             0.10158,                   0,                   0,                   0,                   0,             0.10011,            0.053133,              0.1022,            0.057467,           0.0044673,           0.0044673
                   6,             0.09802,            0.073314,             0.10106,                   0,                   0,                   0,                   0,            0.099903,            0.053383,              0.1021,            0.050173,           0.0051733,           0.0051733
                   7,            0.096817,            0.087643,              0.1003,                   0,                   0,                   0,                   0,            0.099681,            0.053308,             0.10199,            0.042863,           0.0058634,           0.0058634
                   8,            0.094587,            0.082291,            0.099473,                   0,                   0,                   0,                   0,            0.099325,            0.053659,             0.10188,            0.035538,           0.0065377,           0.0065377
                   9,            0.092478,            0.076859,            0.096323,                   0,                   0,                   0,                   0,            0.098879,            0.054041,             0.10175,            0.028196,           0.0071961,           0.0071961
                  10,            0.091614,            0.084724,            0.094734,                   0,                   0,                   0,                   0,            0.097543,            0.054819,             0.10128,            0.020839,           0.0078387,           0.0078387
                  11,            0.088768,            0.075294,            0.090583,            0.014085,           0.0001109,           0.0070976,           0.0017702,            0.095721,             0.05525,             0.10014,            0.013465,           0.0084655,           0.0084655
                  12,            0.089324,            0.068925,            0.087437,           0.0021127,          0.00049906,           0.0010976,          0.00042545,            0.092907,            0.055752,            0.098663,            0.008812,            0.008812,            0.008812
                  13,            0.086765,            0.074931,            0.084429,           0.0017815,           0.0064877,           0.0016783,          0.00054268,            0.088271,            0.054636,            0.093895,            0.008812,            0.008812,            0.008812
                  14,            0.083731,            0.069254,            0.086493,           0.0054761,             0.07945,           0.0069254,           0.0021858,            0.083268,            0.053822,            0.089642,            0.008713,            0.008713,            0.008713
