step,tag,value
0,x/lr1,0.000699999975040555
1,x/lr1,0.0014851499581709504
2,x/lr1,0.0022544600069522858
3,x/lr1,0.0030079300049692392
4,x/lr1,0.0037455600686371326
5,x/lr1,0.004467349965125322
6,x/lr1,0.005173299927264452
7,x/lr1,0.0058634099550545216
8,x/lr1,0.006537680048495531
9,x/lr1,0.0071961102075874805
10,x/lr1,0.007838699966669083
11,x/lr1,0.008465450257062912
12,x/lr1,0.008812000043690205
13,x/lr1,0.008812000043690205
14,x/lr1,0.00871300045400858
15,x/lr1,0.00861399993300438
16,x/lr1,0.008515000343322754
17,x/lr1,0.008415999822318554
18,x/lr1,0.008317000232636929
19,x/lr1,0.008217999711632729
20,x/lr1,0.008119000121951103
21,x/lr1,0.008019999600946903
22,x/lr1,0.007921000011265278
23,x/lr1,0.007822000421583652
24,x/lr1,0.0077229999005794525
25,x/lr1,0.00762399984523654
26,x/lr1,0.007524999789893627
27,x/lr1,0.007426000200212002
28,x/lr1,0.007327000144869089
29,x/lr1,0.0072280000895261765
30,x/lr1,0.007129000034183264
31,x/lr1,0.007029999978840351
32,x/lr1,0.006930999923497438
33,x/lr1,0.006831999868154526
34,x/lr1,0.006732999812811613
35,x/lr1,0.006634000223129988
36,x/lr1,0.006535000167787075
37,x/lr1,0.006436000112444162
38,x/lr1,0.00633700005710125
39,x/lr1,0.006238000001758337
40,x/lr1,0.006138999946415424
41,x/lr1,0.006039999891072512
42,x/lr1,0.005940999835729599
43,x/lr1,0.005841999780386686
44,x/lr1,0.005743000190705061
45,x/lr1,0.005644000135362148
46,x/lr1,0.005545000080019236
47,x/lr1,0.005446000024676323
48,x/lr1,0.00534699996933341
49,x/lr1,0.005247999913990498
50,x/lr1,0.005148999858647585
51,x/lr1,0.005049999803304672
52,x/lr1,0.004951000213623047
53,x/lr1,0.004852000158280134
54,x/lr1,0.0047530001029372215
55,x/lr1,0.004654000047594309
56,x/lr1,0.004554999992251396
57,x/lr1,0.0044559999369084835
58,x/lr1,0.004356999881565571
59,x/lr1,0.004257999826222658
60,x/lr1,0.0041589997708797455
61,x/lr1,0.00406000018119812
62,x/lr1,0.0039610001258552074
63,x/lr1,0.0038620000705122948
64,x/lr1,0.003763000015169382
65,x/lr1,0.0036639999598264694
66,x/lr1,0.0035649999044835567
67,x/lr1,0.0034660000819712877
68,x/lr1,0.003367000026628375
69,x/lr1,0.0032679999712854624
70,x/lr1,0.0031689999159425497
71,x/lr1,0.0030700000934302807
72,x/lr1,0.002971000038087368
73,x/lr1,0.0028719999827444553
74,x/lr1,0.0027729999274015427
75,x/lr1,0.0026740001048892736
76,x/lr1,0.002575000049546361
77,x/lr1,0.0024759999942034483
78,x/lr1,0.0023769999388605356
79,x/lr1,0.0022780001163482666
80,x/lr1,0.002179000061005354
81,x/lr1,0.0020800000056624413
82,x/lr1,0.0019809999503195286
83,x/lr1,0.0018820000113919377
84,x/lr1,0.001782999956049025
85,x/lr1,0.0016840000171214342
86,x/lr1,0.0015849999617785215
87,x/lr1,0.0014860000228509307
88,x/lr1,0.001386999967508018
89,x/lr1,0.0012880000285804272
90,x/lr1,0.0011889999732375145
91,x/lr1,0.0010900000343099236
92,x/lr1,0.000990999978967011
93,x/lr1,0.0008919999818317592
94,x/lr1,0.0007929999846965075
95,x/lr1,0.0006939999875612557
96,x/lr1,0.0005949999904260039
97,x/lr1,0.0004959999932907522
98,x/lr1,0.0003969999961555004
99,x/lr1,0.00029799999902024865
