step,tag,value
0,metrics/precision,0.682364284992218
1,metrics/precision,0.7452886700630188
2,metrics/precision,0.7705212235450745
3,metrics/precision,0.725713312625885
4,metrics/precision,0.7260180115699768
5,metrics/precision,0.7753891348838806
6,metrics/precision,0.7424535155296326
7,metrics/precision,0.7627842426300049
8,metrics/precision,0.7693945169448853
9,metrics/precision,0.7716938853263855
10,metrics/precision,0.7563996315002441
11,metrics/precision,0.7992574572563171
12,metrics/precision,0.7690043449401855
13,metrics/precision,0.800969660282135
14,metrics/precision,0.8081316351890564
15,metrics/precision,0.7742308378219604
16,metrics/precision,0.8382527828216553
17,metrics/precision,0.8456949591636658
18,metrics/precision,0.7783768773078918
19,metrics/precision,0.821749210357666
20,metrics/precision,0.8349164128303528
21,metrics/precision,0.7931848168373108
22,metrics/precision,0.8021270036697388
23,metrics/precision,0.8000369668006897
24,metrics/precision,0.8601279854774475
25,metrics/precision,0.8838152289390564
26,metrics/precision,0.8712623715400696
27,metrics/precision,0.8495445847511292
28,metrics/precision,0.8221545815467834
29,metrics/precision,0.8374704718589783
30,metrics/precision,0.8516037464141846
31,metrics/precision,0.858081579208374
32,metrics/precision,0.8002817630767822
33,metrics/precision,0.8416395783424377
34,metrics/precision,0.8835128545761108
35,metrics/precision,0.8741315007209778
