step,tag,value
0,metrics/recall,0.6010852456092834
1,metrics/recall,0.651273250579834
2,metrics/recall,0.646290123462677
3,metrics/recall,0.680598795413971
4,metrics/recall,0.7077013850212097
5,metrics/recall,0.7118640542030334
6,metrics/recall,0.7332019805908203
7,metrics/recall,0.7175946235656738
8,metrics/recall,0.7309510707855225
9,metrics/recall,0.7484497427940369
10,metrics/recall,0.7613380551338196
11,metrics/recall,0.7553757429122925
12,metrics/recall,0.7602008581161499
13,metrics/recall,0.7482051253318787
14,metrics/recall,0.7719817757606506
15,metrics/recall,0.7809462547302246
16,metrics/recall,0.7503868341445923
17,metrics/recall,0.7526805400848389
18,metrics/recall,0.8092176914215088
19,metrics/recall,0.8152114748954773
20,metrics/recall,0.809096097946167
21,metrics/recall,0.8174590468406677
22,metrics/recall,0.8203166127204895
23,metrics/recall,0.8495314121246338
24,metrics/recall,0.8237030506134033
25,metrics/recall,0.7986185550689697
26,metrics/recall,0.8133760094642639
27,metrics/recall,0.8150185942649841
28,metrics/recall,0.8223437666893005
29,metrics/recall,0.8192539215087891
30,metrics/recall,0.8237693309783936
31,metrics/recall,0.824232816696167
32,metrics/recall,0.8612245917320251
33,metrics/recall,0.8407353162765503
34,metrics/recall,0.848608136177063
35,metrics/recall,0.8453441262245178
36,metrics/recall,0.8485661149024963
37,metrics/recall,0.8444917798042297
38,metrics/recall,0.857779860496521
39,metrics/recall,0.8596831560134888
40,metrics/recall,0.8352664113044739
41,metrics/recall,0.8535272479057312
42,metrics/recall,0.8757928013801575
43,metrics/recall,0.8644142150878906
44,metrics/recall,0.838095486164093
45,metrics/recall,0.8308363556861877
46,metrics/recall,0.8354277014732361
47,metrics/recall,0.8491858839988708
48,metrics/recall,0.8543374538421631
49,metrics/recall,0.8566060066223145
50,metrics/recall,0.8595801591873169
51,metrics/recall,0.8650394082069397
52,metrics/recall,0.8581387400627136
53,metrics/recall,0.8602283000946045
54,metrics/recall,0.8661245703697205
55,metrics/recall,0.8775776624679565
56,metrics/recall,0.8550556302070618
57,metrics/recall,0.8705958724021912
58,metrics/recall,0.8680970668792725
59,metrics/recall,0.8713180422782898
60,metrics/recall,0.8734301328659058
61,metrics/recall,0.8643403649330139
62,metrics/recall,0.874073326587677
63,metrics/recall,0.8659588694572449
64,metrics/recall,0.874495804309845
65,metrics/recall,0.865268349647522
66,metrics/recall,0.8612953424453735
67,metrics/recall,0.8788809180259705
68,metrics/recall,0.8792499303817749
69,metrics/recall,0.8854676485061646
70,metrics/recall,0.8854316473007202
71,metrics/recall,0.8841665983200073
72,metrics/recall,0.8722962141036987
73,metrics/recall,0.8730126619338989
74,metrics/recall,0.874191403388977
75,metrics/recall,0.8820902705192566
76,metrics/recall,0.8828956484794617
77,metrics/recall,0.8827118277549744
78,metrics/recall,0.8799561858177185
79,metrics/recall,0.8815715312957764
80,metrics/recall,0.8833106756210327
81,metrics/recall,0.8828379511833191
82,metrics/recall,0.8865941762924194
83,metrics/recall,0.8836109042167664
84,metrics/recall,0.8844029903411865
85,metrics/recall,0.8771402835845947
86,metrics/recall,0.8804647326469421
87,metrics/recall,0.8791941404342651
88,metrics/recall,0.8778252005577087
89,metrics/recall,0.8771796226501465
90,metrics/recall,0.8796175122261047
91,metrics/recall,0.8810733556747437
92,metrics/recall,0.8836495280265808
93,metrics/recall,0.8828262090682983
94,metrics/recall,0.8836951851844788
95,metrics/recall,0.8834264278411865
96,metrics/recall,0.885246992111206
97,metrics/recall,0.889962911605835
98,metrics/recall,0.8871060609817505
99,metrics/recall,0.8902707099914551
