step,tag,value
0,train/obj_loss,0.0653771311044693
1,train/obj_loss,0.06173775717616081
2,train/obj_loss,0.07014358043670654
3,train/obj_loss,0.06205182150006294
4,train/obj_loss,0.060823410749435425
5,train/obj_loss,0.056128837168216705
6,train/obj_loss,0.05045032873749733
7,train/obj_loss,0.06006999686360359
8,train/obj_loss,0.05835277587175369
9,train/obj_loss,0.054718077182769775
10,train/obj_loss,0.06244182586669922
11,train/obj_loss,0.05543677881360054
12,train/obj_loss,0.04973726347088814
13,train/obj_loss,0.055573102086782455
14,train/obj_loss,0.04845235124230385
15,train/obj_loss,0.05176355317234993
16,train/obj_loss,0.0488198883831501
17,train/obj_loss,0.04864681139588356
18,train/obj_loss,0.04884194955229759
19,train/obj_loss,0.04930337890982628
20,train/obj_loss,0.04703744500875473
21,train/obj_loss,0.045651812106370926
22,train/obj_loss,0.04985211044549942
23,train/obj_loss,0.04560033231973648
24,train/obj_loss,0.04823102429509163
25,train/obj_loss,0.04029883071780205
26,train/obj_loss,0.04989399388432503
27,train/obj_loss,0.05223208665847778
28,train/obj_loss,0.049216173589229584
29,train/obj_loss,0.045498527586460114
30,train/obj_loss,0.04464254155755043
31,train/obj_loss,0.050813451409339905
32,train/obj_loss,0.04495929181575775
33,train/obj_loss,0.04895647242665291
34,train/obj_loss,0.047576066106557846
35,train/obj_loss,0.0475553497672081
36,train/obj_loss,0.04576977714896202
37,train/obj_loss,0.04349309206008911
38,train/obj_loss,0.04979483410716057
39,train/obj_loss,0.04386197030544281
40,train/obj_loss,0.04498115926980972
41,train/obj_loss,0.04076108708977699
42,train/obj_loss,0.03778555244207382
43,train/obj_loss,0.044793497771024704
44,train/obj_loss,0.04232228547334671
45,train/obj_loss,0.04073799401521683
46,train/obj_loss,0.046285033226013184
47,train/obj_loss,0.04152902588248253
48,train/obj_loss,0.03805304318666458
49,train/obj_loss,0.0434124730527401
50,train/obj_loss,0.036686111241579056
51,train/obj_loss,0.03930757939815521
52,train/obj_loss,0.03789207339286804
53,train/obj_loss,0.03718777745962143
54,train/obj_loss,0.03670240193605423
55,train/obj_loss,0.037209849804639816
56,train/obj_loss,0.03626217693090439
57,train/obj_loss,0.03517879545688629
58,train/obj_loss,0.038058169186115265
59,train/obj_loss,0.03515028953552246
60,train/obj_loss,0.03648161515593529
61,train/obj_loss,0.031140772625803947
62,train/obj_loss,0.038181472569704056
63,train/obj_loss,0.040418922901153564
64,train/obj_loss,0.0382564514875412
65,train/obj_loss,0.035534754395484924
66,train/obj_loss,0.03514864668250084
67,train/obj_loss,0.03946371376514435
68,train/obj_loss,0.034332457929849625
69,train/obj_loss,0.03813295438885689
70,train/obj_loss,0.03734107315540314
71,train/obj_loss,0.03624436631798744
72,train/obj_loss,0.04070093482732773
73,train/obj_loss,0.04122846573591232
74,train/obj_loss,0.04048461839556694
75,train/obj_loss,0.0404362715780735
76,train/obj_loss,0.039850469678640366
77,train/obj_loss,0.03805752098560333
78,train/obj_loss,0.038921650499105453
79,train/obj_loss,0.03955128788948059
80,train/obj_loss,0.04010169953107834
81,train/obj_loss,0.032974228262901306
82,train/obj_loss,0.03745346516370773
83,train/obj_loss,0.03751197084784508
84,train/obj_loss,0.03586786985397339
85,train/obj_loss,0.03569060191512108
86,train/obj_loss,0.03501185402274132
87,train/obj_loss,0.04028776288032532
88,train/obj_loss,0.0371427945792675
89,train/obj_loss,0.03466670587658882
90,train/obj_loss,0.034151848405599594
91,train/obj_loss,0.036808863282203674
92,train/obj_loss,0.0374782532453537
93,train/obj_loss,0.03274893760681152
94,train/obj_loss,0.040429770946502686
95,train/obj_loss,0.03427312523126602
96,train/obj_loss,0.034922853112220764
97,train/obj_loss,0.03764604404568672
98,train/obj_loss,0.035867009311914444
99,train/obj_loss,0.037130195647478104
