step,tag,value
0,metrics/recall,0.6010852456092834
1,metrics/recall,0.651273250579834
2,metrics/recall,0.646290123462677
3,metrics/recall,0.680598795413971
4,metrics/recall,0.7077013850212097
5,metrics/recall,0.7118640542030334
6,metrics/recall,0.7332019805908203
7,metrics/recall,0.7175946235656738
8,metrics/recall,0.7309510707855225
9,metrics/recall,0.7484497427940369
10,metrics/recall,0.7613380551338196
11,metrics/recall,0.7553757429122925
12,metrics/recall,0.7602008581161499
13,metrics/recall,0.7482051253318787
14,metrics/recall,0.7719817757606506
15,metrics/recall,0.7809462547302246
16,metrics/recall,0.7503868341445923
17,metrics/recall,0.7526805400848389
18,metrics/recall,0.8092176914215088
19,metrics/recall,0.8152114748954773
20,metrics/recall,0.809096097946167
21,metrics/recall,0.8174590468406677
22,metrics/recall,0.8203166127204895
23,metrics/recall,0.8495314121246338
24,metrics/recall,0.8237030506134033
25,metrics/recall,0.7986185550689697
26,metrics/recall,0.8133760094642639
27,metrics/recall,0.8150185942649841
28,metrics/recall,0.8223437666893005
29,metrics/recall,0.8192539215087891
30,metrics/recall,0.8237693309783936
31,metrics/recall,0.824232816696167
32,metrics/recall,0.8612245917320251
33,metrics/recall,0.8407353162765503
34,metrics/recall,0.848608136177063
35,metrics/recall,0.8453441262245178
36,metrics/recall,0.8333593606948853
37,metrics/recall,0.8498124480247498
38,metrics/recall,0.8396152853965759
39,metrics/recall,0.8410316705703735
40,metrics/recall,0.84601229429245
41,metrics/recall,0.8697533011436462
42,metrics/recall,0.8778984546661377
43,metrics/recall,0.8946864604949951
44,metrics/recall,0.8563562035560608
45,metrics/recall,0.8409125208854675
46,metrics/recall,0.8977072834968567
47,metrics/recall,0.8855894207954407
48,metrics/recall,0.8913835883140564
49,metrics/recall,0.8863138556480408
50,metrics/recall,0.8730552792549133
51,metrics/recall,0.8656163215637207
52,metrics/recall,0.8769345879554749
53,metrics/recall,0.866033673286438
54,metrics/recall,0.8752548098564148
55,metrics/recall,0.8748436570167542
56,metrics/recall,0.8724880814552307
57,metrics/recall,0.8738040924072266
58,metrics/recall,0.8588956594467163
59,metrics/recall,0.8757125735282898
60,metrics/recall,0.8798688650131226
61,metrics/recall,0.8697518110275269
62,metrics/recall,0.8706197142601013
63,metrics/recall,0.8770374655723572
64,metrics/recall,0.8733119368553162
65,metrics/recall,0.8775290846824646
66,metrics/recall,0.8727325201034546
67,metrics/recall,0.8811401128768921
68,metrics/recall,0.8816600441932678
69,metrics/recall,0.8908462524414062
70,metrics/recall,0.892007052898407
71,metrics/recall,0.8886600136756897
72,metrics/recall,0.8888892531394958
73,metrics/recall,0.9249701499938965
74,metrics/recall,0.8698750734329224
75,metrics/recall,0.8916364312171936
76,metrics/recall,0.8805027604103088
77,metrics/recall,0.8909385800361633
78,metrics/recall,0.8834476470947266
79,metrics/recall,0.9255166053771973
80,metrics/recall,0.9207397103309631
81,metrics/recall,0.917253315448761
82,metrics/recall,0.9194395542144775
83,metrics/recall,0.9149054884910583
84,metrics/recall,0.9021964073181152
85,metrics/recall,0.9185671210289001
86,metrics/recall,0.9173231720924377
87,metrics/recall,0.9189631938934326
88,metrics/recall,0.9234405159950256
89,metrics/recall,0.9256505370140076
90,metrics/recall,0.9257988333702087
91,metrics/recall,0.9270423650741577
92,metrics/recall,0.9252980947494507
93,metrics/recall,0.9249871373176575
94,metrics/recall,0.9261026978492737
95,metrics/recall,0.9269794225692749
96,metrics/recall,0.9292769432067871
97,metrics/recall,0.8865849375724792
98,metrics/recall,0.9341214299201965
99,metrics/recall,0.8861292600631714
