step,tag,value
0,metrics/precision,0.682364284992218
1,metrics/precision,0.7452886700630188
2,metrics/precision,0.7705212235450745
3,metrics/precision,0.725713312625885
4,metrics/precision,0.7260180115699768
5,metrics/precision,0.7753891348838806
6,metrics/precision,0.7424535155296326
7,metrics/precision,0.7627842426300049
8,metrics/precision,0.7693945169448853
9,metrics/precision,0.7716938853263855
10,metrics/precision,0.7563996315002441
11,metrics/precision,0.7992574572563171
12,metrics/precision,0.7690043449401855
13,metrics/precision,0.800969660282135
14,metrics/precision,0.8081316351890564
15,metrics/precision,0.7742308378219604
16,metrics/precision,0.8382527828216553
17,metrics/precision,0.8456949591636658
18,metrics/precision,0.7783768773078918
19,metrics/precision,0.821749210357666
20,metrics/precision,0.8349164128303528
21,metrics/precision,0.7931848168373108
22,metrics/precision,0.8021270036697388
23,metrics/precision,0.8000369668006897
24,metrics/precision,0.8601279854774475
25,metrics/precision,0.8838152289390564
26,metrics/precision,0.8712623715400696
27,metrics/precision,0.8495445847511292
28,metrics/precision,0.8221545815467834
29,metrics/precision,0.8374704718589783
30,metrics/precision,0.8516037464141846
31,metrics/precision,0.858081579208374
32,metrics/precision,0.8002817630767822
33,metrics/precision,0.8416395783424377
34,metrics/precision,0.8835128545761108
35,metrics/precision,0.8741315007209778
36,metrics/precision,0.8930946588516235
37,metrics/precision,0.8762251734733582
38,metrics/precision,0.8651471734046936
39,metrics/precision,0.8648643493652344
40,metrics/precision,0.8691944479942322
41,metrics/precision,0.8215672373771667
42,metrics/precision,0.8164114952087402
43,metrics/precision,0.8428072929382324
44,metrics/precision,0.8900228142738342
45,metrics/precision,0.9234201908111572
46,metrics/precision,0.8894455432891846
47,metrics/precision,0.9200406074523926
48,metrics/precision,0.9015637636184692
49,metrics/precision,0.8911089301109314
50,metrics/precision,0.8945503830909729
51,metrics/precision,0.8899030685424805
52,metrics/precision,0.9091376662254333
53,metrics/precision,0.9015452265739441
54,metrics/precision,0.905286967754364
55,metrics/precision,0.8901563286781311
56,metrics/precision,0.9141833782196045
57,metrics/precision,0.9021977186203003
58,metrics/precision,0.9092997312545776
59,metrics/precision,0.9034088850021362
60,metrics/precision,0.9052872061729431
61,metrics/precision,0.9157345294952393
62,metrics/precision,0.9201213121414185
63,metrics/precision,0.9226612448692322
64,metrics/precision,0.9153217077255249
65,metrics/precision,0.9223923683166504
66,metrics/precision,0.922898530960083
67,metrics/precision,0.9208457469940186
68,metrics/precision,0.922770082950592
69,metrics/precision,0.9169428944587708
70,metrics/precision,0.9232164621353149
71,metrics/precision,0.9137029647827148
72,metrics/precision,0.929349422454834
73,metrics/precision,0.9337393045425415
74,metrics/precision,0.936770498752594
75,metrics/precision,0.9303504228591919
76,metrics/precision,0.9332261085510254
77,metrics/precision,0.9311085939407349
78,metrics/precision,0.9399653077125549
79,metrics/precision,0.9364873766899109
80,metrics/precision,0.9356909990310669
81,metrics/precision,0.9362626075744629
82,metrics/precision,0.9223218560218811
83,metrics/precision,0.9237469434738159
84,metrics/precision,0.9244269132614136
85,metrics/precision,0.9368230104446411
86,metrics/precision,0.9323064684867859
87,metrics/precision,0.9331600666046143
88,metrics/precision,0.935356616973877
89,metrics/precision,0.9351757764816284
90,metrics/precision,0.9349551200866699
91,metrics/precision,0.9369266033172607
92,metrics/precision,0.9329301714897156
93,metrics/precision,0.9347202181816101
94,metrics/precision,0.9371622800827026
95,metrics/precision,0.9323291778564453
96,metrics/precision,0.9329437017440796
97,metrics/precision,0.9295879006385803
98,metrics/precision,0.9319558143615723
99,metrics/precision,0.929818332195282
