               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045443,            0.065348,            0.016384,             0.68859,             0.59872,             0.68548,             0.45356,            0.041396,            0.038443,            0.010783,              0.0937,              0.0007,              0.0007
                   1,            0.043841,            0.061675,            0.017212,              0.7433,             0.64917,             0.73591,             0.48479,            0.040434,            0.037231,           0.0092251,            0.086485,           0.0014851,           0.0014851
                   2,            0.044768,            0.070079,             0.01597,             0.77376,             0.64706,              0.7457,             0.48228,            0.040127,            0.036458,           0.0081656,            0.079254,           0.0022545,           0.0022545
                   3,            0.044098,             0.06203,            0.013596,             0.73156,             0.68482,             0.76479,             0.50424,            0.040102,            0.036201,           0.0073702,            0.072008,           0.0030079,           0.0030079
                   4,            0.044553,            0.060832,            0.013253,             0.72704,             0.70918,             0.77467,             0.51214,             0.03993,             0.03552,           0.0066819,            0.064746,           0.0037456,           0.0037456
                   5,            0.045265,            0.056142,            0.013688,             0.78016,             0.71741,             0.79274,             0.50437,            0.041785,            0.033735,           0.0061125,            0.057467,           0.0044673,           0.0044673
                   6,            0.045226,            0.050457,            0.013298,             0.75196,             0.73625,             0.77911,             0.47684,            0.042836,            0.033349,            0.005892,            0.050173,           0.0051733,           0.0051733
                   7,            0.047737,            0.060046,            0.010293,             0.73908,             0.74015,             0.79127,             0.49581,            0.042861,            0.032701,           0.0053252,            0.042863,           0.0058634,           0.0058634
                   8,             0.04747,            0.058354,             0.01239,             0.73753,             0.73434,              0.7883,             0.47557,            0.046093,            0.032768,           0.0050846,            0.035538,           0.0065377,           0.0065377
                   9,            0.046612,            0.054586,            0.010016,             0.77947,              0.7643,              0.8086,             0.50993,            0.043021,            0.032273,           0.0050182,            0.028196,           0.0071961,           0.0071961
                  10,            0.048081,            0.062347,            0.010082,             0.75301,             0.77089,             0.79923,             0.47049,            0.046623,            0.030968,            0.004815,            0.020839,           0.0078387,           0.0078387
                  11,            0.047706,            0.055363,           0.0098072,             0.79525,             0.74927,             0.81433,             0.52204,            0.042571,            0.030501,           0.0047164,            0.013465,           0.0084655,           0.0084655
                  12,            0.045728,            0.049657,            0.011546,             0.76507,             0.76466,             0.81459,             0.51655,            0.043589,            0.029913,           0.0046221,            0.008812,            0.008812,            0.008812
                  13,            0.047146,            0.055261,            0.010949,              0.8115,             0.78173,             0.83497,              0.5487,            0.041003,            0.029629,           0.0046482,            0.008812,            0.008812,            0.008812
                  14,            0.044752,            0.048166,           0.0097335,             0.81178,             0.74498,             0.82373,             0.52515,            0.042853,            0.029225,            0.004493,            0.008713,            0.008713,            0.008713
                  15,            0.043723,            0.051419,           0.0093764,             0.83555,             0.77772,             0.83683,             0.53932,            0.042107,            0.029273,           0.0044292,            0.008614,            0.008614,            0.008614
                  16,            0.045291,            0.048259,           0.0096033,             0.85868,             0.76003,             0.83877,             0.54475,            0.039681,            0.029387,           0.0043687,            0.008515,            0.008515,            0.008515
                  17,            0.042384,            0.048441,           0.0098639,             0.85376,             0.76176,             0.84314,             0.53433,            0.039892,            0.030224,           0.0045571,            0.008416,            0.008416,            0.008416
                  18,            0.042736,            0.049312,            0.009618,             0.82928,              0.7898,             0.85321,             0.54948,            0.040633,            0.028731,           0.0040356,            0.008317,            0.008317,            0.008317
                  19,            0.042568,            0.048978,            0.010387,             0.85355,             0.79031,             0.85348,             0.55858,            0.041574,            0.028309,           0.0039048,            0.008218,            0.008218,            0.008218
                  20,             0.04401,            0.046834,            0.009532,             0.82441,             0.81012,             0.86218,             0.53722,            0.042055,            0.028193,           0.0038217,            0.008119,            0.008119,            0.008119
                  21,            0.045071,            0.046129,           0.0089071,             0.81883,             0.80432,             0.86412,             0.55173,            0.040415,             0.02857,           0.0038927,             0.00802,             0.00802,             0.00802
                  22,             0.04359,            0.049845,           0.0092749,             0.77086,             0.84121,             0.85202,             0.55098,             0.04176,             0.02775,           0.0037568,            0.007921,            0.007921,            0.007921
                  23,            0.043131,            0.045977,           0.0082396,             0.79444,             0.85024,             0.87983,             0.58711,             0.03932,            0.027293,           0.0037202,            0.007822,            0.007822,            0.007822
                  24,            0.039909,            0.048339,           0.0093485,             0.81524,             0.83415,             0.88241,             0.57763,            0.038127,            0.027047,            0.003517,            0.007723,            0.007723,            0.007723
                  25,            0.042027,            0.040301,           0.0089062,             0.83125,             0.83733,             0.89625,              0.5888,            0.039084,            0.026863,           0.0034877,            0.007624,            0.007624,            0.007624
                  26,            0.041669,            0.049979,           0.0076611,             0.79318,             0.85111,             0.88691,             0.56155,            0.039556,            0.027001,             0.00351,            0.007525,            0.007525,            0.007525
                  27,            0.042448,             0.05206,           0.0071874,             0.79718,             0.82605,             0.89058,             0.57647,            0.037579,            0.026735,           0.0034363,            0.007426,            0.007426,            0.007426
                  28,            0.042163,            0.049308,           0.0086851,             0.80872,             0.83672,             0.89497,             0.60387,            0.037119,            0.025728,           0.0033281,            0.007327,            0.007327,            0.007327
                  29,            0.040594,            0.045705,           0.0078777,             0.83157,             0.82276,             0.90114,             0.59758,            0.036765,            0.025707,           0.0033488,            0.007228,            0.007228,            0.007228
                  30,            0.041266,             0.04469,           0.0069837,             0.81458,             0.83315,             0.89992,             0.58629,            0.038206,            0.025834,           0.0033907,            0.007129,            0.007129,            0.007129
                  31,            0.040645,            0.050682,           0.0076519,             0.84494,             0.83237,             0.90525,             0.58373,            0.036413,            0.025542,           0.0032951,             0.00703,             0.00703,             0.00703
                  32,            0.040116,            0.044277,           0.0083721,             0.83839,             0.83588,             0.90002,             0.59624,            0.036883,            0.025752,           0.0033712,            0.006931,            0.006931,            0.006931
                  33,            0.039963,            0.048069,           0.0073161,             0.86462,             0.82892,             0.90068,              0.5967,            0.037547,            0.025472,            0.003268,            0.006832,            0.006832,            0.006832
                  34,            0.040781,            0.047463,           0.0075186,              0.8966,             0.84159,             0.91597,             0.62262,            0.035881,            0.025112,           0.0032334,            0.006733,            0.006733,            0.006733
